GlobalId,IfcRoomId,Story,SpaceBooking.AllowedEventTypes,SpaceBooking.BookableByRole,SpaceBooking.ExistingEquipment,SpaceBooking.IsBookable,SpaceBooking.IsEnclosedSpace,SpaceBooking.MaxOccupancy,SpaceBooking.NoiseSensitivity
0QhC_fYNK_Jv0hXmWllSi2,R-41,3.OG,MEETING; CLUB_EVENT,STUDENT,WHITEBOARD; POWER_OUTLETS; WIFI_ROUTER; TABLES; CHAIRS,True,True,12.0,SENSITIVE
1kFNRmS46GIg$ZW6k892EK,R-14,4.OG,MEETING; CLUB_EVENT,STUDENT,WHITEBOARD; POWER_OUTLETS; WIFI_ROUTER; TABLES; CHAIRS,True,True,6.0,SENSITIVE
2GGmxBC57iG98XI7hx1lRS,R-15,4.OG,MEETING; CLUB_EVENT,STUDENT,WHITEBOARD; POWER_OUTLETS; WIFI_ROUTER; TABLES; CHAIRS,True,True,6.0,SENSITIVE
2Vb911uv9fIOuxQhYYDnfG,R-16,4.OG,MEETING; WORKSHOP; CLUB_EVENT,STUDENT,WHITEBOARD; POWER_OUTLETS; WIFI_ROUTER; TABLES; CHAIRS,True,True,12.0,SENSITIVE
3YRhd6f952GwgMNt3MaLWE,R-42,3.OG,,NO_ONE,WIFI_ROUTER; CHAIRS,False,True,,NOT_SENSITIVE
2KtFc91t0iJ9D5qdqkJVYd,R-17,4.OG,PRESENTATION; WORKSHOP; CLUB_EVENT; SCREENING,STUDENT,WHITEBOARD; PROJECTOR; POWER_OUTLETS; WIFI_ROUTER; TABLES; CHAIRS,True,True,20.0,NOT_SENSITIVE
0Gh_VwbFMbGeSHQQDfXBSY,R-43,4.OG,,NO_ONE,WIFI_ROUTER; CHAIRS; LOCKERS,False,True,,NOT_SENSITIVE
1pXG4$l3GdIBCKVP6rLhQ$,R-22,4.OG,,NO_ONE,WIFI_ROUTER; CHAIRS,False,False,,NOT_SENSITIVE
1b8dseIXXpG9D3A0Efnujf,R-44,4.OG,MEETING; NONE,NO_ONE,POWER_OUTLETS; WIFI_ROUTER; TABLES; CHAIRS,False,True,20.0,HUGHLY_SENSITIVE
065IYgXWYPIfcNW1_CYTc_,R-45,4.OG,MEETING; CLUB_EVENT,STUDENT,WHITEBOARD; POWER_OUTLETS; WIFI_ROUTER; TABLES; CHAIRS,True,True,14.0,SENSITIVE
3VCd_W7Mi7HwzsLkVTpMK4,R-46,4.OG,MEETING; WORKSHOP; CLUB_EVENT,STUDENT,WHITEBOARD; POWER_OUTLETS; WIFI_ROUTER; TABLES; CHAIRS,True,True,20.0,NOT_SENSITIVE
